AchievementSwitchChecker (AchievementSwitchChecker)
AllDeadWatcher (AllDeadWatcher)
AudioEffectChangeArea (AudioEffectChangeArea)
AudioListenerParamArea (AudioListenerParamArea)
AudioSituationArea (AudioSituationArea)
BazookaTouchLiftPipeInner (FixMapParts)
BazookaTouchLiftPoisonA (FixMapParts)
BazookaTouchLiftSlidePartsA (AssistSlideMapParts)
BazookaTouchLiftStepA (FixMapParts)
BelieveSignboarGraphicsArea (GraphicsArea)
BelieveSignboardEchoPartsA (EchoBlockMapParts)
BelieveSignboardEchoPartsB (EchoBlockMapParts)
BelieveSignboardKeyMovePartsA (KeyMoveMapParts)
BelieveSignboardKeyMovePartsB (KeyMoveMapParts)
BelieveSignboardKeyMovePartsC (KeyMoveMapParts)
BelieveSignboardKeyMovePartsD (BelieveSignboardKeyMoveParts)
BelieveSignboardStep (FixMapParts)
BelieveSignboardVisibleParts (VisibleSwitchMapParts)
BgmChangeArea (BgmChangeArea)
BgmPlayObj (BgmPlayObj)
BgmRegionChangeArea (BgmRegionChangeArea)
BgmRegionChanger (BgmRegionChanger)
BgmStartArea (BgmStartArea)
BgmStopArea (BgmStopArea)
BgmStopObj (BgmStopObj)
Bird (Bird)
BlockBrick (BlockBrick)
BlockBrickBreakable (BlockBrickBreakable)
BlockEmpty (BlockEmpty)
BlockHard (BlockHard)
BlockPow (BlockPow)
BlockQuestion (BlockQuestion)
BlockRailMover (BlockRailMover)
BlueBlockMazeStepA (FixMapParts)
BonusShuffler (BonusShuffler)
BonusStage1CherryStepA (FixMapParts)
BonusStage1CherryStepB (RotateMapParts)
BonusStage1CherryStepC (RotateMapParts)
BonusStage1MainStepA (FixMapParts)
BonusStage1PickaxeStepA (FixMapParts)
BonusStage2CherryStepA (FixMapParts)
BonusStage2PickaxeStepA (FixMapParts)
BonusStage3BackHideMapPartsA (BackHideMapParts)
BonusStage3CherryStepA (FixMapParts)
BonusStage3PickaxeStepA (FixMapParts)
BossBird (BossBird)
BossBird1Gold (FixMapParts)
BossBird1PipeInner (FixMapParts)
BossBird1StepB (FixMapParts)
BossBird2Cloud (FixMapParts)
BossBird2PipeInner (FixMapParts)
BossBirdCloud (FixMapParts)
BossBirdLevel2 (BossBird)
BossFire (BossFire)
BossFire2StepA_Bottom (FixMapParts)
BossFire2StepB (FixMapParts)
BossFire2StepC (FixMapParts)
BossFire2WallRockA (BackHideMapParts)
BossFire2WallRockB (BackHideMapParts)
BossFire2WallRockC (BackHideMapParts)
